,Closest City Name,Closest Country Code,Latitude,Longitude,Temperature,Max Temperature,Wind Speed,Humidity,Cloudiness,Date
32,taolanaro,MG,,,,,,,,
160,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
173,bima,ID,-8.45,118.73,118.73,76.08,3.6,91.0,0.0,1538483255.0
1208,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
864,saldanha,ZA,-33.01,17.94,17.94,66.2,17.22,67.0,20.0,1538481600.0
346,cururupu,BR,-1.82,-44.87,-44.87,87.33,12.44,62.0,44.0,1538483284.0
1084,vostok,RU,46.45,135.83,135.83,51.33,7.74,65.0,92.0,1538483400.0
428,xinyang,CN,32.13,114.07,114.07,60.06,1.92,71.0,0.0,1538483300.0
1319,hobart,AU,-42.88,147.33,147.33,59.0,12.75,47.0,75.0,1538481600.0
1029,soyo,AO,-6.13,12.37,12.37,85.26,4.38,67.0,12.0,1538483394.0
1480,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
821,nikolskoye,RU,59.7,30.79,30.79,50.0,11.18,76.0,75.0,1538479800.0
1143,bambous virieux,MU,-20.34,57.76,57.76,75.2,11.41,64.0,75.0,1538481600.0
1024,klaksvik,FO,62.23,-6.59,-6.59,44.6,18.34,81.0,75.0,1538481000.0
965,hithadhoo,MV,-0.6,73.08,73.08,82.74,19.82,100.0,92.0,1538483264.0
987,mataura,PF,,,,,,,,
1359,sibolga,ID,1.74,98.78,98.78,70.23,1.59,100.0,68.0,1538483452.0
612,ilulissat,GL,69.22,-51.1,-51.1,30.2,17.22,54.0,75.0,1538481000.0
746,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
25,thinadhoo,MV,0.53,72.93,72.93,83.46,17.47,100.0,88.0,1538483229.0
891,mataura,PF,,,,,,,,
550,pimenta bueno,BR,-11.68,-61.19,-61.19,76.26,2.93,90.0,76.0,1538483320.0
885,conway,US,33.84,-79.05,-79.05,69.98,3.36,93.0,20.0,1538481600.0
904,saint-philippe,RE,-21.36,55.77,55.77,75.2,13.87,50.0,75.0,1538481600.0
53,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
5,mataura,PF,,,,,,,,
558,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
907,busselton,AU,-33.64,115.35,115.35,62.04,22.39,99.0,80.0,1538483239.0
